P21589	NT5E
P32321	DCTD
P30085	CMPK1
Q96P26	NT5C1B
Q9BXI3	NT5C1A
Q8TCD5	NT5C
P27707	DCK
Q9NPB1	NT5M
P35914	HMGCL
P53396	ACLY
Q09472	EP300
P11177	PDHB
Q9BWD1	ACAT2
Q92793	CREBBP
Q96F10	SAT2
O95822	MLYCD
P22557	ALAS2
O00763	ACACB
P11498	PC
P18440	NAT1
P11245	NAT2
P13196	ALAS1
Q9UKN8	GTF3C4
Q8WYK0	ACOT12
P28329	CHAT
Q9Y6Q9	NCOA3
Q92831	KAT2B
P43155	CRAT
P21673	SAT1
Q16613	AANAT
P42765	ACAA2
Q9Y6F8	CDY1
Q9Y6F8	CDY1B
P49327	FASN
Q92993	KAT5
Q9NR19	ACSS2
P24752	ACAT1
Q15788	NCOA1
P54868	HMGCS2
O00330	PDHX
Q9NUB1	ACSS1
O75390	CS
Q9Y6F7	CDY2A
Q9Y6F7	CDY2B
P09110	ACAA1
P08559	PDHA1
Q13085	ACACA
P55084	HADHB
O75600	GCAT
P29803	PDHA2
Q02252	ALDH6A1
Q96EK6	GNPNAT1
Q01581	HMGCS1
P09622	DLD
P10515	DLAT
O75608	LYPLA1
Q8NCC3	PLA2G15
P39877	PLA2G5
Q9BZM2	PLA2G2F
P47712	PLA2G4A
P04054	PLA2G1B
Q9BX93	PLA2G12B
O15496	PLA2G10
Q9UHV8	LGALS13
Q9NZK7	PLA2G2E
O95372	LYPLA2
Q9BZM1	PLA2G12A
O60733	PLA2G6
P04180	LCAT
Q05315	CLC
P14555	PLA2G2A
Q9UNK4	PLA2G2D
P17516	AKR1C4
P16152	CBR1
Q9BTZ2	DHRS4
O75828	CBR3
P15428	HPGD
O14684	PTGES
O14939	PLD2
Q9UBM1	PEMT
Q13393	PLD1
P23919	DTYMK
P49961	ENTPD1
Q8WVQ1	CANT1
O75355	ENTPD3
P14679	TYR
P15121	AKR1B1
Q15166	PON3
P05187	ALPP
P27169	PON1
Q15165	PON2
P09923	ALPI
P11117	ACP2
P24666	ACP1
P05186	ALPL
P13686	ACP5
P15309	ACP3
P10696	ALPG
P14174	MIF
P46597	ASMT
P28330	ACADL
P16219	ACADS
P11310	ACADM
Q9HA47	UCK1
O00746	NME4
P23921	RRM1
P15531	NME1
