Entry	Gene	Secretome location	Subcellular main location
Q9NQ94	A1CF		Nucleoplasm
Q9NPC4	A4GALT		Mitochondria
Q9NRG9	AAAS		Nuclear membrane
Q86V21	AACS		Vesicles
Q8N5Z0	AADAT		Plasma membrane
Q6PD74	AAGAB		Nuclear speckles, Cytosol
Q2M2I8	AAK1		Plasma membrane
Q9H7C9	AAMDC		Nucleoplasm
Q13685	AAMP		Microtubules
Q16613	AANAT		Cytosol
Q9Y312	AAR2		Cytosol
Q4LEZ3	AARD		Lipid droplets
P49588	AARS1		Cytosol
Q5JTZ9	AARS2		Mitochondria
Q9BTE6	AARSD1		Nuclear membrane, Cytosol
Q9UDR5	AASS		Mitochondria
Q9NY61	AATF		Nucleoli
Q6ZMQ8	AATK		Mitochondria
P80404	ABAT		Mitochondria
O95477	ABCA1		Plasma membrane
Q86UK0	ABCA12		Vesicles, Plasma membrane
Q86UQ4	ABCA13		Nucleoplasm, Vesicles
Q9BZC7	ABCA2		Vesicles
Q99758	ABCA3		Nucleoplasm, Vesicles
P78363	ABCA4		Endoplasmic reticulum
Q8WWZ7	ABCA5		Nucleoplasm
Q8N139	ABCA6		Nucleoplasm
Q8IZY2	ABCA7		Golgi apparatus, Plasma membrane
O94911	ABCA8		Nucleoplasm
Q8IUA7	ABCA9		Endoplasmic reticulum
P08183	ABCB1		Plasma membrane
O95342	ABCB11		Nucleoplasm, Plasma membrane, Cytosol
P21439	ABCB4		Nucleoplasm, Plasma membrane
Q9NP58	ABCB6	Intracellular and membrane	Golgi apparatus
O75027	ABCB7		Mitochondria
Q9NUT2	ABCB8		Mitochondria
Q9NP78	ABCB9		Vesicles
P33527	ABCC1		Plasma membrane
O15438	ABCC3		Plasma membrane
O15439	ABCC4		Plasma membrane
O15440	ABCC5		Plasma membrane, Cell Junctions
O95255	ABCC6		Plasma membrane
Q09428	ABCC8		Nucleoli, Golgi apparatus
O60706	ABCC9		Nucleoplasm, Plasma membrane
P28288	ABCD3		Peroxisomes
P61221	ABCE1		Cytosol
Q8NE71	ABCF1		Cytosol
Q9UG63	ABCF2		Cytosol
	ABCF2-H2BK1		Cytosol
