Brutto,Proteins list
C27H46O,P04180|P38571|P19835|O00204|P08842|O75908|P22680|P35610|Q9UBM7|P05108|Q02318|O95477|P02647|Q15392|P08183|Q9UNQ0|P35398|O95992|Q9Y6A2
C6H11NO2,Q9P0Z9
C6H8O7,P53396|O75390|P15121|P14174|Q9Y663|Q14749|Q9BY32|P07741|P07998|Q96KN2|Q93088|O76074|Q99798|P21399|P40926|P12931|P03950|O94956|P12724|Q9BZX2|Q8N0X4|Q96RQ9|Q9ULI2|Q9GZU7|P15086
C5H10O5,P15121|Q9UQ10|Q8WWX8|O60218|O75063
C7H14N2O4S,P32929|P35520
C2H5NO2,P22557|P13196|O75600|Q9P0Z9|P14920|P22102|Q9BYV1|Q14749|P15144|P50440|Q14032|P41250|P48728|P21549|P48637|P34897|Q9UL12|P34896|P23378|P28838|O60391|Q12879|Q14957|P48067|P23434|Q9Y345|Q7Z2H8|Q9H598|Q8TF71|Q6IB77|Q969I3|Q8WU03|P23415|P23416|O75311|P48167|Q6YP21|Q53ET4|Q5BJF5|Q5HYG8|Q14330
C3H8O3,Q9NZK7|P15121|Q92523|P50416|P06858|P23786|Q99685|P12429|O43252|P09848|P17050|P14550|Q05469|P06280|P11766|P00325|P40394|P07327|P28332|P00326|P09211|Q14410|P32189|P16278|P37173|P05181|O60760|P84077|P06028|P08183|P09466|Q14643|Q14409|O14717|Q9UJA2|Q9NPH2|Q6ZS86|Q6UWR7|Q9HCC8|Q8N2K0|Q9BV23|O60218
C3H6O4,P49189|P49419|P47895|P05091|P51648|P30837|Q9UBQ7|Q8IVS8
C6H12O6,P15121|P52790|P52789|P19367|P54803|P09848|P06280|P16278|Q01415|P51570|P34059|O43451|Q8TET4|Q5KU26|Q2TB90
C5H9NO4,P30038|P00390|O94808|Q06210|P80404|P17735|P17174|P00505|P54687|Q06203|Q8N5Z0|Q9BYV1|P04181|Q16773|P48506|P48507|Q8N159|O15382|P07814|P08243|P49915|P49448|P15104|Q9UI32|P17812|O94925|O95954|P00367|Q05329|Q99259|P19440|Q9UJ14|P21549|P48637|Q05932|P24298|Q9Y617|Q9UDR5|O15067|P54886|O14841|P53985|Q05586|O60391|Q12879|Q14957|Q13224|O15399|P38435|P39086|Q13002|Q13003|O75879|Q04609|Q13255|Q96A70|P42261|Q9UPY5|Q4W5N8|P43005|Q9H1K4|P43003|P43004|O00341|Q6IA69|P48664|P27708|Q8TD30|Q5TDP6|Q9NRF8|Q8TF71|Q9H936|Q6P531|A8YXX4|Q5JPH6|A4D0W4|P42262|Q8TCU5|Q8IXN7|Q9ULI2|Q8NHS2|Q6YP21|Q2TU84|A0PJJ9|P36269|Q07075|Q9H0R6|Q9ULA0|O00222|Q14833|Q14831|O43716|P36268|A6NGU5
