HMDB0033344 C21H20O6
HMDB0263766 C43H71O10P
HMDB0051746 C67H108O6
HMDB0044490 C57H96O6
HMDB0051316 C63H98O6
HMDB0043660 C58H104O6
HMDB0052775 C61H98O6
HMDB0287009 C48H88NO10P
HMDB0054166 C67H112O6
HMDB0008442 C48H82NO8P
HMDB0054276 C61H94O6
HMDB0263565 C40H73O11P
HMDB0047155 C71H132O6
HMDB0052721 C63H102O6
HMDB0289567 C46H86NO11P
HMDB0008424 C46H84NO7P
HMDB0115687 C25H49O8P
HMDB0047246 C59H110O6
HMDB0047559 C61H110O6
HMDB0051399 C63H114O5
HMDB0051969 C65H118O6
HMDB0000384 C24H40O4
HMDB0052702 C65H110O6
HMDB0052867 C54H90O6
HMDB0051583 C63H112O6
HMDB0046502 C63H110O6
HMDB0048266 C57H98O6
HMDB0011522 C27H52NO7P
HMDB0015628 C25H36N6O4S
HMDB0285799 C43H78NO9P
HMDB0042260 C61H110O6
HMDB0049253 C59H100O6
HMDB0263360 C39H71O11P
HMDB0287293 C46H80NO9P
HMDB0052102 C65H116O6
HMDB0010044 C45H81O19P3
HMDB0056200 C43H80O5
HMDB0031633 C21H22O4
HMDB0035419 C24H22O12
HMDB0054093 C55H90O6
HMDB0002042 C11H13NO3
HMDB0115543 C43H81O8P
HMDB0050823 C67H110O6
HMDB0054728 C65H104O6
HMDB0047325 C73H138O6
HMDB0267128 C44H79O9P
HMDB0052487 C63H112O6
HMDB0048030 C63H116O6
HMDB0287829 C50H90NO9P
HMDB0011989 C103H180N4O47
HMDB0047424 C67H122O6
HMDB0008801 C52H100NO8P
HMDB0047721 C65H118O5
HMDB0010334 C22H22O9
HMDB0006826 C29H37N9O12
HMDB0043467 C56H100O6
HMDB0013858 C5H12ClN2O2P
HMDB0009654 C45H76NO8P
HMDB0045276 C63H108O6
HMDB0114844 C41H79O8P
HMDB0286597 C48H80NO9P
HMDB0048261 C53H90O6
HMDB0047010 C61H116O6
HMDB0287873 C50H90NO9P
HMDB0045503 C58H112O6
HMDB0045724 C61H112O6
HMDB0011604 C32H56N7O17P3S
HMDB0049013 C65H112O6
HMDB0042069 C47H88O6
HMDB0052278 C67H112O6
HMDB0054667 C65H110O6
HMDB0265909 C45H71O9P
HMDB0266236 C45H67O9P
HMDB0050468 C61H104O6
HMDB0049911 C61H110O6
HMDB0263946 C39H69O9P
HMDB0046120 C59H100O6
HMDB0056263 C45H78O5
HMDB0046375 C63H114O6
HMDB0044408 C63H110O6
HMDB0009827 C45H79O13P
HMDB0287333 C46H80NO9P
HMDB0052165 C67H114O6
HMDB0263733 C39H69O9P
HMDB0047955 C51H92O6
HMDB0287267 C48H82NO11P
HMDB0044598 C59H100O6
HMDB0009011 C45H80NO8P
HMDB0288180 C50H84NO9P
HMDB0054142 C65H104O6
HMDB0010503 C57H96O6
HMDB0042661 C53H98O6
HMDB0268174 C43H75O10P
HMDB0286609 C44H78NO9P
HMDB0042900 C57H102O5
HMDB0054062 C63H106O6
HMDB0055503 C59H88O6
HMDB0053665 C58H100O6
HMDB0287388 C48H82NO11P
HMDB0050082 C61H106O6
HMDB0047757 C52H94O6
HMDB0007665 C45H74O5
HMDB0045168 C61H108O6
HMDB0052416 C58H104O6
HMDB0266637 C29H51O9P
HMDB0014343 C16H28N2O4
HMDB0005472 C59H106O6
HMDB0055044 C61H104O5
HMDB0004240 C20H32O5
HMDB0015559 C22H30N4O2S2
HMDB0115693 C31H61O8P
HMDB0263071 C37H63O9P
HMDB0015467 C24H30O3
HMDB0009612 C45H80NO7P
HMDB0013866 C25H27NO
HMDB0264827 C43H73O9P
HMDB0288378 C50H86NO11P
HMDB0047569 C65H114O6
HMDB0049163 C59H106O6
HMDB0050457 C57H100O6
HMDB0045198 C63H110O6
HMDB0055496 C59H92O6
HMDB0288922 C48H82NO10P
HMDB0046621 C71H132O6
HMDB0009583 C43H78NO8P
HMDB0265754 C45H77O9P
HMDB0007453 C41H68O5
HMDB0046666 C61H108O6
HMDB0265924 C45H71O9P
HMDB0288577 C52H80NO9P
HMDB0267002 C40H71O9P
HMDB0043558 C60H104O6
HMDB0055757 C63H96O6
HMDB0000192 C6H12N2O4S2
HMDB0048755 C59H104O6
HMDB0288619 C52H96NO11P
HMDB0043644 C56H96O6
HMDB0042919 C59H96O6
HMDB0046368 C65H122O6
HMDB0052237 C73H134O6
HMDB0055646 C65H100O6
HMDB0046253 C61H110O5
HMDB0048436 C52H96O6
HMDB0011789 C92H165N3O39
HMDB0009467 C45H70NO8P
HMDB0045973 C67H122O6
HMDB0266388 C47H83O9P
HMDB0053846 C61H98O6
HMDB0008693 C46H80NO8P
HMDB0047114 C67H122O6
HMDB0048576 C53H94O6
HMDB0287040 C48H86NO9P
