Entry	Gene Name	TCDB
A0A087X1C5	CYP2D7	Unknown
A0A096LP01	SMIM26	Unknown
A0A0B4J2F0	PIGBOS1	Unknown
A0A0C5B5G6	MT-RNR1	Unknown
A0A0K2S4Q6	CD300H	Unknown
A0A0U1RRE5	NBDY	Unknown
A0A1B0GTW7	CIROP	Unknown
A0A2R8Y7D0	TINCR	Unknown
A0A8I5KQE6	RPSA2	Unknown
A0AV02	SLC12A8	2.A.30.1.7;
A0AV96	RBM47	Unknown
A0AVF1	IFT56	1.X.1.1.1;
A0AVI4	TMEM129	Unknown
A0AVK6	E2F8	Unknown
A0AVT1	UBA6	Unknown
A0FGR8	ESYT2	9.A.57.1.2;
A0FGR9	ESYT3	9.A.57.1.3;
A0JLT2	MED19	Unknown
A0JNW5	BLTP3B	1.R.2.1.1;
A0JP26	POTEB3	Unknown
A0M8Q6	IGLC7	Unknown
A0MZ66	SHTN1	Unknown
A0PJK1	SLC5A10	2.A.21.3.15;
A0PJY2	FEZF1	Unknown
A0PK00	TMEM120B	Unknown
A0PK05	TMEM72	8.A.230.1.1;
A0PK11	CLRN2	9.A.46.1.2;
A1A4S6	ARHGAP10	Unknown
A1A4Y4	IRGM	Unknown
A1A519	FAM170A	Unknown
A1A5B4	ANO9	1.A.17.1.5;
A1A5C7	SLC22A23	2.A.1.19.28;
A1E959	ODAM	Unknown
A1KXE4	FAM168B	Unknown
A1KZ92	PXDNL	Unknown
A1L0T0	HACL2	Unknown
A1L167	UBE2QL1	Unknown
A1L190	SYCE3	Unknown
A1L390	PLEKHG3	Unknown
A1L3X0	ELOVL7	Unknown
A1L4H1	SSC5D	Unknown
A1L4K1	FSD2	Unknown
A1X283	SH3PXD2B	Unknown
A1XBS5	CIBAR1	Unknown
A1Z1Q3	MACROD2	Unknown
A2A288	ZC3H12D	Unknown
A2A2Y4	FRMD3	Unknown
A2IDD5	CCDC78	Unknown
A2PYH4	HFM1	Unknown
A2RRP1	NBAS	Unknown
A2RTX5	TARS3	Unknown
A2RU14	TMEM218	9.B.438.1.1;
A2RU30	TESPA1	Unknown
A2RU49	HYKK	Unknown
A2RUB1	MEIOC	Unknown
A2RUB6	CCDC66	Unknown
A2RUC4	TYW5	Unknown
A2RUH7	MYBPHL	Unknown
A2VDJ0	TMEM131L	Unknown
A2VEC9	SSPOP	9.B.87.1.18;
A3KMH1	VWA8	Unknown
A3KN83	SBNO1	Unknown
A4D0S4	LAMB4	Unknown
A4D126	CRPPA	Unknown
A4D161	FAM221A	Unknown
A4D1B5	GSAP	Unknown
A4D1E9	GTPBP10	Unknown
A4D1P6	WDR91	Unknown
A4D1S5	RAB19	Unknown
A4D1T9	PRSS37	Unknown
A4D256	CDC14C	Unknown
A4D2B0	MBLAC1	Unknown
A4D2B8	PMS2P1	Unknown
A4GXA9	EME2	Unknown
A4UGR9	XIRP2	Unknown
A5A3E0	POTEF	Unknown
A5D8T8	CLEC18A	Unknown
A5D8V6	VPS37C	Unknown
A5D8V7	ODAD3	Unknown
A5D8W1	CFAP69	Unknown
A5LHX3	PSMB11	Unknown
A5PKW4	PSD	Unknown
A5PLL7	PEDS1	Unknown
A5X5Y0	HTR3E	Unknown
A5YKK6	CNOT1	Unknown
A5YM72	CARNS1	Unknown
A6BM72	MEGF11	Unknown
A6H8Y1	BDP1	Unknown
A6H8Z2	FAM221B	Unknown
A6NC98	CCDC88B	Unknown
A6NCS4	NKX2-6	Unknown
A6ND01	IZUMO1R	9.B.92.1.2;
A6ND36	FAM83G	Unknown
A6NDB9	PALM3	Unknown
A6NDE4	RBMY1B	Unknown
A6NDG6	PGP	Unknown
A6NDV4	TMEM8B	1.N.2.1.7;
A6NED2	RCCD1	Unknown
A6NEM1	GOLGA6L9	Unknown
A6NFA1	TRABD2B	Unknown
A6NFQ2	TCAF2	Unknown
A6NFX1	MFSD2B	2.A.2.3.16;
A6NFY7	SDHAF1	Unknown
A6NGG8	PCARE	Unknown
A6NGQ2	OOEP	Unknown
A6NGU5	GGT3P	Unknown
A6NHL2	TUBAL3	Unknown
A6NHQ2	FBLL1	Unknown
A6NHR9	SMCHD1	Unknown
A6NHX0	CASTOR2	Unknown
A6NI15	MSGN1	Unknown
A6NI61	MYMK	1.N.2.1.1;
A6NI73	LILRA5	Unknown
A6NIH7	UNC119B	Unknown
